CustomerID,Cluster,SegmentLabel,Recency,Frequency,Monetary,AvgOrderValue
12346,3,Loyal Customers,326,1,77183.6,77183.6
12347,4,Champions (High-Value Loyal),2,7,4310.0,615.7142857142857
12348,3,Loyal Customers,75,4,1797.24,449.31
12349,3,Loyal Customers,19,1,1757.55,1757.55
12350,2,At-Risk (High Value),310,1,334.4,334.4
12352,4,Champions (High-Value Loyal),36,8,2506.04,313.255
12353,0,Potential Loyalists,204,1,89.0,89.0
12354,3,Loyal Customers,232,1,1079.4,1079.4
12355,2,At-Risk (High Value),214,1,459.4,459.4
12356,3,Loyal Customers,23,3,2811.43,937.1433333333333
12357,3,Loyal Customers,33,1,6207.67,6207.67
12358,1,Loyal Customers,2,2,1168.06,584.03
12359,3,Loyal Customers,58,4,6372.58,1593.145
12360,3,Loyal Customers,52,3,2662.06,887.3533333333334
12361,2,At-Risk (High Value),287,1,189.9,189.9
12362,4,Champions (High-Value Loyal),3,10,5226.23,522.6229999999999
12363,1,Loyal Customers,110,2,552.0,276.0
12364,3,Loyal Customers,8,4,1313.1,328.275
12365,2,At-Risk (High Value),291,2,641.38,320.69
12367,1,Loyal Customers,4,1,168.9,168.9
12370,3,Loyal Customers,51,4,3545.6899999999996,886.4224999999999
12371,3,Loyal Customers,45,2,1887.96,943.98
12372,3,Loyal Customers,72,3,1298.04,432.68
12373,2,At-Risk (High Value),311,1,364.6,364.6
12374,3,Loyal Customers,25,1,742.9300000000001,742.9300000000001
12375,1,Loyal Customers,11,2,457.5,228.75
12377,3,Loyal Customers,315,2,1628.12,814.06
12378,3,Loyal Customers,130,1,4008.62,4008.62
12379,1,Loyal Customers,82,2,852.24,426.12
12380,3,Loyal Customers,22,4,2724.8100000000004,681.2025000000001
12381,4,Champions (High-Value Loyal),5,5,1845.31,369.062
12383,3,Loyal Customers,185,5,1850.56,370.11199999999997
12384,1,Loyal Customers,29,2,585.27,292.635
12386,2,At-Risk (High Value),338,2,401.9,200.95
12388,4,Champions (High-Value Loyal),16,6,2780.66,463.4433333333333
12390,3,Loyal Customers,80,1,549.84,549.84
12391,3,Loyal Customers,22,1,460.89,460.89
12393,3,Loyal Customers,72,4,1582.6,395.65
12394,3,Loyal Customers,64,2,1272.48,636.24
12395,4,Champions (High-Value Loyal),19,12,3018.63,251.5525
12397,3,Loyal Customers,36,2,2409.8999999999996,1204.9499999999998
12398,3,Loyal Customers,46,1,1635.6599999999999,1635.6599999999999
12399,1,Loyal Customers,119,4,1108.65,277.1625
12401,0,Potential Loyalists,303,1,84.3,84.3
12402,2,At-Risk (High Value),323,1,225.6,225.6
12403,1,Loyal Customers,50,1,427.7,427.7
12405,3,Loyal Customers,149,1,1710.39,1710.39
12406,3,Loyal Customers,22,2,3415.3,1707.65
12407,4,Champions (High-Value Loyal),50,5,1708.12,341.62399999999997
12408,4,Champions (High-Value Loyal),33,5,2888.55,577.71
12409,3,Loyal Customers,79,3,11072.67,3690.89
12410,2,At-Risk (High Value),309,2,693.3299999999999,346.66499999999996
12412,3,Loyal Customers,75,3,1226.88,408.96000000000004
12413,1,Loyal Customers,67,3,758.1,252.70000000000002
12414,2,At-Risk (High Value),217,3,562.41,187.47
12415,4,Champions (High-Value Loyal),24,21,124914.53,5948.310952380953
12417,4,Champions (High-Value Loyal),3,9,3649.1,405.4555555555555
12418,3,Loyal Customers,113,1,668.58,668.58
12420,3,Loyal Customers,64,1,600.39,600.39
12421,1,Loyal Customers,16,4,807.04,201.76
12422,1,Loyal Customers,96,3,803.56,267.8533333333333
12423,4,Champions (High-Value Loyal),1,8,1859.31,232.41375
12424,3,Loyal Customers,163,2,1760.9600000000003,880.4800000000001
12425,3,Loyal Customers,78,1,777.2,777.2
12426,2,At-Risk (High Value),195,1,582.73,582.73
12427,1,Loyal Customers,22,3,825.8,275.26666666666665
12428,4,Champions (High-Value Loyal),26,9,7956.46,884.0511111111111
12429,3,Loyal Customers,9,4,3750.4,937.6
12430,1,Loyal Customers,43,1,256.4,256.4
12431,4,Champions (High-Value Loyal),36,15,6487.45,432.49666666666667
12432,4,Champions (High-Value Loyal),43,5,5059.32,1011.8639999999999
12433,4,Champions (High-Value Loyal),1,7,13375.87,1910.8385714285716
12434,1,Loyal Customers,85,2,806.14,403.07
12435,3,Loyal Customers,80,2,7829.89,3914.945
12436,1,Loyal Customers,100,1,509.01,509.01
12437,4,Champions (High-Value Loyal),2,18,4951.41,275.0783333333333
12438,3,Loyal Customers,14,2,2906.85,1453.425
12441,2,At-Risk (High Value),367,1,173.55,173.55
12442,1,Loyal Customers,3,1,172.06,172.06
12444,4,Champions (High-Value Loyal),21,5,5005.46,1001.092
12445,0,Potential Loyalists,22,1,133.4,133.4
12446,3,Loyal Customers,58,1,1002.3100000000001,1002.3100000000001
12447,2,At-Risk (High Value),243,1,476.49,476.49
12448,1,Loyal Customers,44,1,449.45,449.45
12449,3,Loyal Customers,22,4,4067.29,1016.8225
12450,0,Potential Loyalists,156,2,197.88,98.94
12451,3,Loyal Customers,11,5,9035.52,1807.104
12452,1,Loyal Customers,17,2,430.57,215.285
12453,3,Loyal Customers,134,1,707.09,707.09
12454,3,Loyal Customers,56,1,3528.34,3528.34
12455,4,Champions (High-Value Loyal),73,6,2466.86,411.1433333333334
12456,3,Loyal Customers,44,3,3181.04,1060.3466666666666
12457,4,Champions (High-Value Loyal),66,7,2363.23,337.6042857142857
12458,3,Loyal Customers,71,2,947.4000000000001,473.70000000000005
12461,1,Loyal Customers,94,2,826.88,413.44
12462,3,Loyal Customers,19,2,1189.5900000000001,594.7950000000001
12463,1,Loyal Customers,53,4,1344.78,336.195
12464,0,Potential Loyalists,10,8,1212.05,151.50625
12465,1,Loyal Customers,17,2,742.19,371.095
12468,2,At-Risk (High Value),188,2,729.5400000000001,364.77000000000004
